DataHora,Protocolo,IP_Origem,IP_Destino,Protocolo_Num,Tamanho
2025-06-23 10:05:30,IPv4,99.83.165.34,192.168.0.15,6,52
2025-06-23 10:05:33,IPv4,192.168.0.15,104.18.19.125,6,411
2025-06-23 10:05:33,IPv4,192.168.0.15,104.18.19.125,6,83
2025-06-23 10:05:33,IPv4,104.18.19.125,192.168.0.15,6,52
2025-06-23 10:05:33,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:33,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:33,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:33,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:33,IPv4,104.18.19.125,192.168.0.15,6,52
2025-06-23 10:05:33,IPv4,104.18.19.125,192.168.0.15,6,133
2025-06-23 10:05:33,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:34,IPv4,192.168.0.12,192.168.0.255,17,63
2025-06-23 10:05:35,IPv4,192.168.0.15,3.208.180.91,6,52
2025-06-23 10:05:35,IPv4,3.208.180.91,192.168.0.15,6,52
2025-06-23 10:05:38,IPv4,192.168.0.15,104.18.19.125,6,411
2025-06-23 10:05:38,IPv4,192.168.0.15,104.18.19.125,6,83
2025-06-23 10:05:38,IPv4,104.18.19.125,192.168.0.15,6,52
2025-06-23 10:05:38,IPv4,104.18.19.125,192.168.0.15,6,52
2025-06-23 10:05:38,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:38,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:38,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:38,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:38,IPv4,104.18.19.125,192.168.0.15,6,133
2025-06-23 10:05:38,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:40,IPv4,192.168.0.12,192.168.0.255,17,63
2025-06-23 10:05:43,IPv4,192.168.0.15,104.18.19.125,6,411
2025-06-23 10:05:43,IPv4,192.168.0.15,104.18.19.125,6,83
2025-06-23 10:05:43,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:43,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:43,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:43,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:43,IPv4,104.18.19.125,192.168.0.15,6,133
2025-06-23 10:05:43,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:46,IPv4,192.168.0.12,192.168.0.255,17,63
2025-06-23 10:05:48,IPv4,192.168.0.15,104.18.19.125,6,411
2025-06-23 10:05:48,IPv4,192.168.0.15,104.18.19.125,6,83
2025-06-23 10:05:48,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:48,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:48,IPv4,104.18.19.125,192.168.0.15,6,87
2025-06-23 10:05:48,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:48,IPv4,104.18.19.125,192.168.0.15,6,52
2025-06-23 10:05:48,IPv4,104.18.19.125,192.168.0.15,6,133
2025-06-23 10:05:48,IPv4,192.168.0.15,104.18.19.125,6,52
2025-06-23 10:05:48,IPv4,192.168.0.15,181.213.132.5,17,77
2025-06-23 10:05:48,IPv4,192.168.0.15,181.213.132.5,17,77
2025-06-23 10:05:48,IPv4,181.213.132.5,192.168.0.15,17,205
2025-06-23 10:05:48,IPv4,181.213.132.5,192.168.0.15,17,162
2025-06-23 10:05:48,IPv4,192.168.0.15,52.5.29.12,6,60
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,60
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,52
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,569
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,52
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,1500
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,52
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,1500
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,1539
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,52
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,52
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,1504
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,52
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,231
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,447
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,76
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,52
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,52
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,76
2025-06-23 10:05:49,IPv4,192.168.0.15,52.5.29.12,6,52
2025-06-23 10:05:49,IPv4,192.168.0.15,3.208.180.91,6,166
2025-06-23 10:05:49,IPv4,192.168.0.15,181.213.132.5,17,77
2025-06-23 10:05:49,IPv4,192.168.0.15,3.208.180.91,6,91
2025-06-23 10:05:49,IPv4,192.168.0.15,181.213.132.5,17,77
2025-06-23 10:05:49,IPv4,181.213.132.5,192.168.0.15,17,162
2025-06-23 10:05:49,IPv4,181.213.132.5,192.168.0.15,17,162
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,40
2025-06-23 10:05:49,IPv4,52.5.29.12,192.168.0.15,6,40
2025-06-23 10:05:49,IPv4,3.208.180.91,192.168.0.15,6,52
2025-06-23 10:05:49,IPv4,3.208.180.91,192.168.0.15,6,91
2025-06-23 10:05:49,IPv4,3.208.180.91,192.168.0.15,6,519
2025-06-23 10:05:49,IPv4,3.208.180.91,192.168.0.15,6,83
2025-06-23 10:05:49,IPv4,192.168.0.15,3.208.180.91,6,52
2025-06-23 10:05:49,IPv4,192.168.0.15,3.208.180.91,6,87
2025-06-23 10:05:49,IPv4,3.208.180.91,192.168.0.15,6,52
2025-06-23 10:05:49,IPv4,192.168.0.15,3.218.192.175,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,192.168.0.15,3.213.104.33,6,4396
2025-06-23 11:40:41,IPv4,192.168.0.15,3.213.104.33,6,4396
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,192.168.0.15,3.213.104.33,6,4396
2025-06-23 11:40:41,IPv4,192.168.0.15,3.213.104.33,6,4396
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,192.168.0.15,3.213.104.33,6,2652
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,447
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:41,IPv4,192.168.0.15,3.213.104.33,6,76
2025-06-23 11:40:41,IPv4,192.168.0.15,3.213.104.33,6,52
2025-06-23 11:40:41,IPv4,3.213.104.33,192.168.0.15,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,104.18.18.125,6,411
